h3_cell,total_crimes_in_cell,violent_crimes_in_cell,cell_violent_rate,neighbour_avg_crimes
882664c8ebfffff,2,1.0,0.5,200.83333333333334
882664c8edfffff,13,7.0,0.5384615384615384,150.0
882664c959fffff,21,6.0,0.2857142857142857,39.5
882664ca01fffff,402,120.0,0.29850746268656714,354.3333333333333
882664ca03fffff,459,143.0,0.3115468409586057,388.5
882664ca05fffff,492,134.0,0.27235772357723576,294.5
882664ca07fffff,367,92.0,0.2506811989100817,398.0
882664ca09fffff,291,61.0,0.20962199312714777,294.6666666666667
882664ca0bfffff,311,93.0,0.2990353697749196,324.0
882664ca0dfffff,206,59.0,0.28640776699029125,326.0
882664ca11fffff,627,165.0,0.2631578947368421,402.3333333333333
882664ca13fffff,544,129.0,0.23713235294117646,477.8333333333333
882664ca15fffff,398,86.0,0.21608040201005024,476.8333333333333
882664ca17fffff,408,117.0,0.2867647058823529,504.6666666666667
882664ca19fffff,283,66.0,0.2332155477031802,371.0
882664ca1bfffff,366,84.0,0.22950819672131148,442.1666666666667
882664ca1dfffff,415,116.0,0.27951807228915665,376.5
882664ca21fffff,379,107.0,0.28232189973614774,375.0
882664ca23fffff,450,134.0,0.29777777777777775,382.6666666666667
882664ca25fffff,354,118.0,0.3333333333333333,368.5
882664ca27fffff,472,119.0,0.2521186440677966,394.3333333333333
882664ca29fffff,368,97.0,0.26358695652173914,324.1666666666667
882664ca2bfffff,260,74.0,0.2846153846153846,398.8333333333333
882664ca2dfffff,346,111.0,0.3208092485549133,325.3333333333333
882664ca31fffff,420,164.0,0.3904761904761905,434.5
882664ca33fffff,423,142.0,0.33569739952718675,569.3333333333334
882664ca35fffff,362,132.0,0.36464088397790057,470.8333333333333
882664ca37fffff,533,211.0,0.39587242026266417,477.5
882664ca39fffff,438,131.0,0.2990867579908676,415.8333333333333
882664ca3bfffff,514,183.0,0.3560311284046693,445.6666666666667
882664ca3dfffff,337,103.0,0.3056379821958457,382.8333333333333
882664ca41fffff,435,129.0,0.296551724137931,371.1666666666667
882664ca43fffff,362,96.0,0.26519337016574585,254.66666666666666
882664ca45fffff,351,120.0,0.3418803418803419,408.5
882664ca47fffff,291,88.0,0.3024054982817869,326.8333333333333
882664ca49fffff,357,94.0,0.26330532212885155,371.6666666666667
882664ca4bfffff,216,43.0,0.19907407407407407,313.1666666666667
882664ca4dfffff,650,215.0,0.33076923076923076,333.6666666666667
882664ca51fffff,198,52.0,0.26262626262626265,187.16666666666666
882664ca53fffff,251,67.0,0.26693227091633465,246.83333333333334
882664ca55fffff,196,31.0,0.15816326530612246,240.33333333333334
882664ca57fffff,181,43.0,0.23756906077348067,275.6666666666667
882664ca59fffff,159,15.0,0.09433962264150944,213.5
882664ca5bfffff,237,36.0,0.1518987341772152,250.66666666666666
882664ca5dfffff,99,29.0,0.29292929292929293,228.0
882664ca61fffff,236,42.0,0.17796610169491525,249.16666666666666
882664ca63fffff,164,55.0,0.3353658536585366,320.3333333333333
882664ca65fffff,320,90.0,0.28125,223.0
882664ca67fffff,304,75.0,0.24671052631578946,278.0
882664ca69fffff,276,86.0,0.3115942028985507,283.6666666666667
882664ca6bfffff,316,77.0,0.24367088607594936,254.0
882664ca6dfffff,115,33.0,0.28695652173913044,237.5
882664ca81fffff,323,125.0,0.38699690402476783,485.0
882664ca83fffff,866,321.0,0.37066974595842955,477.0
882664ca85fffff,178,74.0,0.4157303370786517,541.8333333333334
882664ca87fffff,607,182.0,0.29983525535420097,618.6666666666666
882664ca89fffff,511,90.0,0.1761252446183953,434.6666666666667
882664ca8bfffff,378,110.0,0.291005291005291,575.1666666666666
882664ca8dfffff,370,108.0,0.2918918918918919,458.8333333333333
882664ca91fffff,490,127.0,0.25918367346938775,419.1666666666667
882664ca93fffff,611,198.0,0.32405891980360063,420.5
882664ca95fffff,352,94.0,0.26704545454545453,501.6666666666667
882664ca97fffff,216,69.0,0.3194444444444444,440.6666666666667
882664ca99fffff,432,79.0,0.18287037037037038,664.8333333333334
882664ca9bfffff,313,71.0,0.2268370607028754,537.0
882664ca9dfffff,591,198.0,0.3350253807106599,530.1666666666666
882664caa1fffff,567,221.0,0.3897707231040564,783.3333333333334
882664caa3fffff,714,231.0,0.3235294117647059,855.0
882664caa5fffff,1071,355.0,0.3314659197012138,599.8333333333334
882664caa7fffff,914,348.0,0.38074398249452956,816.6666666666666
882664caa9fffff,564,214.0,0.37943262411347517,651.1666666666666
882664caabfffff,851,376.0,0.4418331374853114,585.5
882664caadfffff,586,191.0,0.32593856655290104,743.5
882664cab1fffff,359,124.0,0.34540389972144847,526.0
882664cab3fffff,205,62.0,0.3024390243902439,376.6666666666667
882664cab5fffff,982,325.0,0.33095723014256617,731.8333333333334
882664cab7fffff,239,97.0,0.40585774058577406,680.8333333333334
882664cab9fffff,611,150.0,0.24549918166939444,550.5
882664cabbfffff,236,71.0,0.3008474576271186,341.6666666666667
882664cabdfffff,883,355.0,0.40203850509626277,687.3333333333334
882664cac1fffff,821,159.0,0.19366626065773446,538.5
882664cac3fffff,580,114.0,0.19655172413793104,587.5
882664cac5fffff,635,176.0,0.27716535433070866,566.8333333333334
882664cac7fffff,460,144.0,0.3130434782608696,610.3333333333334
882664cac9fffff,298,68.0,0.22818791946308725,478.1666666666667
882664cacbfffff,785,170.0,0.21656050955414013,437.8333333333333
882664cacdfffff,473,83.0,0.17547568710359407,500.6666666666667
882664cad1fffff,417,79.0,0.18944844124700239,645.6666666666666
882664cad3fffff,1351,259.0,0.19170984455958548,597.5
882664cad5fffff,497,95.0,0.19114688128772636,500.0
882664cad7fffff,663,163.0,0.2458521870286576,611.0
882664cad9fffff,295,42.0,0.1423728813559322,571.0
882664cadbfffff,617,108.0,0.17504051863857376,1011.0
882664caddfffff,451,92.0,0.2039911308203991,463.8333333333333
882664cae1fffff,337,101.0,0.2997032640949555,655.8333333333334
882664cae3fffff,536,167.0,0.31156716417910446,563.8333333333334
882664cae5fffff,520,183.0,0.35192307692307695,734.3333333333334
882664cae7fffff,1189,340.0,0.28595458368376786,595.1666666666666
882664cae9fffff,358,114.0,0.31843575418994413,542.6666666666666
882664caebfffff,745,235.0,0.31543624161073824,449.3333333333333
882664caedfffff,587,184.0,0.313458262350937,426.6666666666667
882664cb01fffff,146,28.0,0.1917808219178082,143.33333333333334
882664cb03fffff,183,29.0,0.15846994535519127,196.5
882664cb05fffff,138,30.0,0.21739130434782608,97.0
882664cb07fffff,155,37.0,0.23870967741935484,133.5
882664cb09fffff,162,52.0,0.32098765432098764,118.83333333333333
882664cb0bfffff,140,27.0,0.19285714285714287,184.66666666666666
882664cb0dfffff,82,29.0,0.35365853658536583,82.0
882664cb11fffff,272,66.0,0.2426470588235294,309.3333333333333
882664cb13fffff,349,119.0,0.34097421203438394,290.5
882664cb15fffff,329,79.0,0.24012158054711247,228.33333333333334
882664cb17fffff,262,69.0,0.2633587786259542,255.16666666666666
882664cb19fffff,373,108.0,0.289544235924933,279.6666666666667
882664cb1bfffff,328,110.0,0.3353658536585366,364.8333333333333
882664cb1dfffff,215,68.0,0.31627906976744186,248.83333333333334
882664cb21fffff,96,27.0,0.28125,52.0
882664cb23fffff,21,1.0,0.047619047619047616,42.833333333333336
882664cb25fffff,12,3.0,0.25,35.0
882664cb27fffff,21,8.0,0.38095238095238093,21.5
882664cb29fffff,68,23.0,0.3382352941176471,76.33333333333333
882664cb2bfffff,98,24.0,0.24489795918367346,86.66666666666667
882664cb2dfffff,92,13.0,0.14130434782608695,31.666666666666668
882664cb31fffff,91,21.0,0.23076923076923078,96.66666666666667
882664cb33fffff,100,34.0,0.34,107.16666666666667
882664cb39fffff,194,44.0,0.2268041237113402,174.0
882664cb3bfffff,244,60.0,0.2459016393442623,187.66666666666666
882664cb3dfffff,42,11.0,0.2619047619047619,93.16666666666667
882664cb41fffff,25,5.0,0.2,87.16666666666667
882664cb43fffff,126,35.0,0.2777777777777778,126.66666666666667
882664cb45fffff,21,3.0,0.14285714285714285,38.166666666666664
882664cb47fffff,13,6.0,0.46153846153846156,69.33333333333333
882664cb49fffff,115,29.0,0.25217391304347825,111.83333333333333
882664cb4bfffff,172,48.0,0.27906976744186046,139.33333333333334
882664cb4dfffff,76,13.0,0.17105263157894737,80.83333333333333
882664cb51fffff,248,38.0,0.1532258064516129,229.16666666666666
882664cb53fffff,313,101.0,0.3226837060702875,291.8333333333333
882664cb55fffff,206,44.0,0.21359223300970873,175.66666666666666
882664cb57fffff,196,49.0,0.25,249.16666666666666
882664cb59fffff,244,56.0,0.22950819672131148,237.83333333333334
882664cb5bfffff,234,56.0,0.23931623931623933,295.8333333333333
882664cb5dfffff,182,37.0,0.2032967032967033,205.66666666666666
882664cb63fffff,33,9.0,0.2727272727272727,48.166666666666664
882664cb65fffff,17,6.0,0.35294117647058826,11.0
882664cb67fffff,1,0.0,0.0,37.0
882664cb69fffff,1,1.0,1.0,32.0
882664cb6dfffff,2,0.0,0.0,19.166666666666668
882664cc01fffff,971,400.0,0.411946446961895,554.5
882664cc03fffff,876,364.0,0.4155251141552511,706.0
882664cc05fffff,250,103.0,0.412,533.8333333333334
882664cc07fffff,284,93.0,0.3274647887323944,685.1666666666666
882664cc09fffff,343,121.0,0.35276967930029157,577.5
882664cc0bfffff,848,240.0,0.2830188679245283,583.6666666666666
882664cc0dfffff,726,252.0,0.34710743801652894,442.6666666666667
882664cc11fffff,268,106.0,0.39552238805970147,596.6666666666666
882664cc13fffff,371,127.0,0.3423180592991914,624.3333333333334
882664cc15fffff,780,282.0,0.36153846153846153,617.3333333333334
882664cc17fffff,591,206.0,0.34856175972927245,674.0
882664cc19fffff,535,166.0,0.3102803738317757,535.6666666666666
